name,team,image,battingStyle,bowlingStyle,playingRole,description
Alex Hales,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png",Right hand Bat,Right arm Medium,Opening Batter,"Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
Dawid Malan,England,,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back."
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png",Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
Harry Brook,England,,Right hand Bat,Right arm Medium,Batter,"A former England U19s captain, Harry Brook announced himself as a player with a bright future with a remarkable T20 Blast season in 2020, averaging 55 and striking at 163 in the group stages despite batting in the middle order."
Moeen Ali,England,,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Liam Livingstone,England,,Right hand Bat,Legbreak,Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine."
Chris Woakes,England,,Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men."
Mark Wood,England,,Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Adil Rashid,England,,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Temba Bavuma(c),South Africa,,Right hand Bat,Right arm Medium,Middle order Batter,"From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. "
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Rilee Rossouw,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316651.png",Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
Tristan Stubbs,South Africa,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Aiden Markram,South Africa,,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
David Miller,South Africa,,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. "
Wayne Parnell,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316608.png",Left hand Bat,Left arm Medium fast,Bowler,"An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season."
Mehidy Hasan Miraz,Bangladesh,,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Kagiso Rabada,South Africa,,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. "
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",Right hand Bat,Right arm Fast,Bowler,"Anrich Nortje is a genuine quick who has been described as ""extremely exciting"" by none other than Dale Steyn. Like Steyn, Nortje is not a product of a big city but comes from the town of Uitenhage, north of Port Elizabeth, which is home to the largest Volkswagen factory in the African continent. It's hardly surprising then, that Nortje is well-acquainted with speed. He regularly sends the speed gun over 150kph and has a fearsome bouncer. "
Keshav Maharaj,South Africa,,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Tabraiz Shamsi,South Africa,,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
George Munsey,Scotland,,Left hand Bat,Right arm Medium fast,Opening Batter,
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png",Right hand Bat,Right arm Offbreak,Top order Batter,Durham Academy youngster Michael Jones hit 87 in a fine debut for Scotland against Ireland in Dubai as his more experienced team-mates toiled. That breakthrough was followed by a first team debut for Durham against Derbyshire at Chesterfield in June of that year.
Matthew Cross,Scotland,,Right hand Bat,,Wicketkeeper Batter,"A wicketkeeper-batsman from Aberdeen, Matthew Cross broke into the Scotland side in 2013. He had earlier made a good impression as vice-captain of Scotland U19s during the 2012 U19 World Cup. Cross hit two half centuries as an aggressive opener to help Scotland qualify for the 2015 World Cup at the World Cup Qualifiers in New Zealand in 2014. But he struggled badly in the summer of 2014, and a total of just 15 runs in four ODIs prompted the Scottish selectors to move him down the order for the World Cup acclimatisation tour. "
Richie Berrington(c),Scotland,,Right hand Bat,Right arm Medium fast,Top order Batter,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012"
Michael Leask,Scotland,,Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff"
Calum MacLeod,Scotland,,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey."
Simi Singh,Ireland,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,
Mark Watt,Scotland,,Left hand Bat,Slow Left arm Orthodox,Bowler,"Mark Watt drew attention to himself in no uncertain terms when he took three wickets at The Grange as Scotland overturned England, who were top of the worlds rankings at the time, in an ODI for the first time."
Brad Wheal,Scotland,,Right hand Bat,Right arm Fast medium,Bowler,"Brad Wheal, a right-handed batsman and right-arm pace bowler, was born in Durban, South Africa but holds a British passport and moved to England with the encouragement of Hampshire's head coach at the time, Dale Benkenstein, who had spotted him playing for Natal Under-19. "
Josh Davey,Scotland,,Right hand Bat,Right arm Medium fast,Bowler,"Josh Davey's seam-bowling talent was recognised when Middlesex gave him his county debut at the age of 19. But, although he was involved with the county for four years, the seam-bowling allrounder failed to push on, and he was released at the end of 2013 and moved west to Somerset. "
Safyaan Sharif,Scotland,,Right hand Bat,Right arm Medium fast,Bowler,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. "
Chris Greaves,Scotland,,Right hand Bat,Legbreak,Bowler,
Michael van Lingen,Namibia,,Left hand Bat,Left arm Medium,Bowling Allrounder,
Divan la Cock,Namibia,,Right hand Bat,Legbreak,Opening Batter,
Stephan Baard,Namibia,,Right hand Bat,Right arm Medium fast,Batter,
Jan Nicol Loftie-Eaton,Namibia,,Left hand Bat,"Right arm Medium, Legbreak",Batter,
Jan Frylinck,Namibia,,Left hand Bat,Left arm Fast medium,Allrounder,
Gerhard Erasmus(c),Namibia,,Right hand Bat,Right arm Offbreak,Allrounder,
David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png",Right hand Bat,Right arm Medium fast,Allrounder,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. "
JJ Smit,Namibia,,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
Bernard Scholtz,Namibia,,Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008"
Gerhard Erasmus,Namibia,,Right hand Bat,Right arm Offbreak,Allrounder,
Ben Shikongo,Namibia,,Right hand Bat,Right arm Medium fast,Bowler,
David Warner,Australia,,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Cameron Green,Australia,,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Mitchell Marsh,Australia,,Right hand Bat,Right arm Medium,Allrounder,"Part of one of the most well-known family names in Australian cricket, Mitchell Marsh, an allrounder who can hit 140kph and hard-hitting middle-order batsman, has been an alluring prospect for Australia in all three formats but has struggled to cement his place at international level despite some outstanding performances on the big stage."
Steven Smith,Australia,,Right hand Bat,Legbreak Googly,Middle order Batter,"In a career of twists and turns, Steven Smith started out as a legspinner and become Australia's best batter since Sir Donald Bradman, either side of having his career derailed by a ball-tampering scandal that saw him stripped of the captaincy and banned for 12 months."
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has become a mainstay in Australia's limited-overs sides as well as a dominant player in the BBL and a sought-after player in the IPL. "
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats and, at times, shown he can transfer that to the red ball. It is not just his power that worries opposing bowlers and captains. His ability to make unconventional shots appear routine - reverse sweeps and pulls, for example - makes it hard to set fields to cover all of his scoring areas. His audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments."
Matthew Wade(c),Australia,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,It has been a career of reinvention for Matthew Wade as he went from Test wicketkeeper to specialist middle-order batsman to T20I World Cup winning wicketkeeper/finisher via a prolific run in domestic cricket when it appeared his international days were over.
Pat Cummins,Australia,,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances."
Kane Richardson,Australia,,Right hand Bat,Right arm Fast medium,Bowler,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad."
Adam Zampa,Australia,,Right hand Bat,Legbreak Googly,Bowler,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
Darwish Rasooli,Afghanistan,,Right hand Bat,Right arm Offbreak,Top order Batter,
Naveen-ul-Haq,Afghanistan,,Right hand Bat,Right arm Medium fast,Bowler,
Josh Hazlewood,Australia,,Left hand Bat,Right arm Fast medium,Bowler,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014. Although he was only 23 at the time, the baggy green had felt a long time coming, given that Hazlewood had been highly regarded for so long. At 17, he had become the youngest fast bowler to be selected by New South Wales, and at 19 he was in his first one-day international against England at Southampton, joining Craig McDermott and Ray Bright as the only Australian 19-year-olds to play the format so soon. Hazlewood was initially chosen for Australia's Test tour of India in late 2010 but was withdrawn due to a back stress injury, and it was not until four years later that he finally played his first Test, having added significant strength to his 196cm frame."
Kyle Mayers,West Indies,,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. "
Evin Lewis,West Indies,,Left hand Bat,,Opening Batter,"""I hit a lot of sixes, big sixes like him,"" Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that's a fairly smart pick."
Brandon King,West Indies,,Right hand Bat,,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
Nicholas Pooran(c),West Indies,,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful."
Shamarh Brooks,West Indies,,Right hand Bat,Legbreak,Top order Batter,"In full flow, Shamarh Brooks is all elegance. He drives mercilessly through the off side and often finishes his flicks standing on one leg. But it took four innings in Tests before these skills were visible."
Rovman Powell,West Indies,,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Jason Holder,West Indies,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. "
Akeal Hosein,West Indies,,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Alzarri Joseph,West Indies,,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Odean Smith,West Indies,,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Obed McCoy,West Indies,,Left hand Bat,Left arm Fast medium,Bowler,
Binura Fernando,Sri Lanka,,Right hand Bat,Left arm Medium fast,Bowler,"Known for his ability to generate awkward bounce from a height of 6'7"", and swing the ball, Binura Fernando has been among the leading schoolboy-cricket names over the past two years, claiming 84 wickets in the 2013 season. A left-arm seamer, Fernando was called up to Sri Lanka's Test squad during the 2014 home series against Pakistan despite not having played first-class cricket. He was chosen largely on the strength of his performances for DS Senanayake College and the Sri Lanka Under-19 team."
Chamika Karunaratne,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Finn Allen,New Zealand,,Right hand Bat,,Top order Batter,
Devon Conway,New Zealand,,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Kane Williamson(c),New Zealand,,Right hand Bat,Right arm Offbreak,Top order Batter,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Glenn Phillips is a top-order wicketkeeper-batsman who has impressed in white-ball cricket during the early stages of his career. Born in South Africa, he moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He made his List A debut at the age of 18 before playing in the 2016 Under-19 World Cup. He really started to turn heads, however, during the 2016-17 Super Smash when he was the tournament's leading scorer with 369 runs, including an innings of 116 off 57 balls. He was called into the New Zealand T20 squad to face South Africa in February 2017 after an injury to Martin Guptill.
ESPNcricinfo staff"
Daryl Mitchell,New Zealand,,Right hand Bat,Right arm Medium,Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year."
James Neesham,New Zealand,,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. "
Trent Boult,New Zealand,,Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions."
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png",Right hand Bat,Right arm Medium fast,Bowler,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes."
Lockie Ferguson,New Zealand,,Right hand Bat,Right arm Fast,Bowler,"A right-arm quick with a good bouncer, it is Lockie Ferguson's speed that made a breakout star at the 2019 World Cup in England. Regularly hitting 150kph, Ferguson's raw speed bowling first change yielded 21 wickets at just 19.47 and an economy rate of 4.88. He finished second on the tournament wicket tally behind Mitchell Starc. He was rewarded with being named in the ICC's team of the tournament alongside skipper Kane Williamson. "
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Ish Sodhi,New Zealand,,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds."
Luke Jongwe,Zimbabwe,,Right hand Bat,Right arm Fast medium,Bowler,
Haider Ali,Pakistan,,Right hand Bat,,Middle order Batter,
Asif Ali,Pakistan,,Right hand Bat,Right arm Offbreak,Middle order Batter,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. "
